Headline,Date,Picture,Content
May Vacations Sale,2020-04-17,PATH,"Save and earn up to 25,000 bonus miles when you book your flight and hotel together! MileagePlus is your ticket to the world, with the most ways to earn and use miles and the most award destinations of any U.S. airline loyalty program. Now all you need is more vacation days."
Rent a Car with Avis or Budget,2020-04-03,PATH,"Save up to 35% off base rates and earn miles. Reserve a car today! No matter the destination, enjoy a trip that delivers more savings. Save up to 30% off of Budget base rates and earn 1,000 AAdvantage bonus miles when you rent for 4 or more days. These miles are in addition to your base miles you receive when renting with Budget."
Fly Nonstop to Poland,2020-03-25,PATH,"New service to Kraków from Chicago O'Hare start May 7. Search and book your flights! Pack your bags and explore Europe! Take advantage of great fares and low exchange rates and save first on flights and again on hotels, dining and shopping when you get there."
New Flights to Latin America,2020-03-19,PATH,"From a remote beach getaway to modern, bustling cities, you're bound to discover new and exciting places and ideas. Shop Main Cabin deals to Latin America and the Caribbean."
Vacation Smarter,2020-03-06,PATH,"Go beyond the flight. For a limited time, SkyMiles Members save up to $350 on any Delta Vacations package worldwide. Plus, earn bonus miles & use miles on the best getaways, curated just for you. Terms apply."
May Vacation Sale,2020-04-17,/static/images/vacations.png,"Save and earn up to 25,000 bonus miles when you book your flight and hotel together! MileagePlus is your ticket to the world, with the most ways to earn and use miles and the most award destinations of any U.S. airline loyalty program. Now all you need is more vacation days."
Rent a Car with Avis or Budget,2020-04-03,/static/images/car.png,"Save up to 35% off base rates and earn miles. Reserve a car today! No matter the destination, enjoy a trip that delivers more savings. Save up to 30% off of Budget base rates and earn 1,000 AAdvantage bonus miles when you rent for 4 or more days. These miles are in addition to your base miles you receive when renting with Budget."
Fly Nonstop to Poland,2020-03-25,/static/images/poland.png,"New service to Krakow from Chicago O'Hare start May 7. Search and book your flights! Pack your bags and explore Europe! Take advantage of great fares and low exchange rates and save first on flights and again on hotels, dining and shopping when you get there."
New Flights to Latin America,2020-03-19,/static/images/latinamerica.png,"From a remote beach getaway to modern, bustling cities, you're bound to discover new and exciting places and ideas. Shop Main Cabin deals to Latin America and the Caribbean."
Vacation Smarter,2020-03-06,static/images/savings.png,"Go beyond the flight. For a limited time, SkyMiles® Members save up to $350 on any Delta Vacations® package worldwide. Plus, earn bonus miles & use miles on the best getaways, curated just for you. Terms apply."
